,Name,Price,Price per Liter
112,"Jever Pilsener 11x0,5l",8.49,1.54
113,"Erdinger Urweiße 20x0,5l",16.99,1.7
114,"Ur-Krostitzer Pilsner 0,5l",0.69,1.38
115,"Jever Light 20x0,5l",14.99,1.5
116,"Fürstenberg Premium Pilsener 0,5l",0.79,1.58
117,"Tuborg Pilsener 6x0,33l",3.49,1.76
118,"Schmucker Gude 6x0,33l",3.99,2.02
119,"Staropramen Premium Pilsener 6x0,33l",4.29,2.17
120,"Carlsberg Pilsener 0,33l",0.79,2.39
121,"Eichbaum Pilsener 20x0,5l",12.99,1.3
122,"Leikeim Premium 20x0,5l",14.99,1.5
123,"Sternburg Pilsener 20x0,5l",7.89,0.79
124,"Holsten Pilsener 11x0,5l",7.49,1.36
125,"Veltins Pilsener 11x0,5l",8.49,1.54
126,"Stuttgarter Hofbräu Pilsner 0,5l",0.79,1.58
127,"Kulmbacher Edelherb 0,5l",0.75,1.5
128,"Wicküler Pilsener 24x0,33l",9.49,1.2
129,"Warsteiner Herb 6x0,33l",3.99,2.02
130,"Tyskie Gronie 0,5l",0.95,1.9
131,"Warsteiner 11x0,5l",7.79,1.42
132,"Warsteiner Herb 20x0,5l",13.99,1.4
133,"Stuttgarter Hofbräu Pilsner 20x0,5l",14.99,1.5
134,"Erdinger Weißbier 11x0,5l",9.49,1.73
135,"Weihenstephaner Hefe-Weißbier hell 20x0,5l",16.79,1.68
136,"Paulaner Hefe-Weißbier naturtrüb 0,5l",0.99,1.98
137,"Paulaner Hefe-Weißbier dunkel 20x0,5l",16.79,1.68
138,"Allgäuer Büble Edel-Weißbier 20x0,5l",15.49,1.55
139,"Paulaner Hefe-Weißbier naturtrüb 20x0,5l",16.99,1.7
140,"Franziskaner Hefe-Weißbier Hell naturtrüb 20x0,5l",16.19,1.62
141,"Radeberger Pilsner 24x0,33l",14.79,1.87
142,"Franziskaner Hefe-Weißbier Hell 0,5l",0.99,1.98
143,"Franziskaner Hefe-Weißbier Dunkel 20x0,5l",16.19,1.62
144,"Erdinger Weissbier 6x0,33l",3.79,1.91
145,"Kapuziner Weißbier 20x0,5l",12.99,1.3
146,"Erdinger Weißbier 20x0,5l",16.99,1.7
147,"Paulaner Weißbier kristallklar 20x0,5l",16.79,1.68
148,"Franziskaner Hefe-Weißbier Leicht 20x0,5l",16.79,1.68
149,"Franziskaner Hefe-Weißbier Hell naturtrüb 11x0,5l",9.99,1.82
150,Paulaner Weißbier Fass 5l,11.99,2.4
151,"König Ludwig Weißbier hell 0,5l",1.05,2.1
152,"Köstritzer Schwarzbier 6x0,33l",3.99,2.02
153,"Erdinger Weißbier Dunkel 20x0,5l",16.99,1.7
154,"Original Oettinger Hefeweizen hell 20x0,5l",8.99,0.9
155,"Störtebeker Bernstein-Weizen 20x0,5l",15.49,1.55
156,"5,0 Original Weizen 0,5l",0.49,0.98
157,"Guinness Irish Draught 0,44l",1.49,3.39
158,"Franziskaner Hefeweizen Hell 6x0,33l",4.49,2.27
159,"Rothaus Zäpfle Hefeweizen 20x0,5l",16.49,1.65
160,"Köstritzer Schwarzbier 6x0,5l",4.99,1.66
161,"Köstritzer Schwarzbier 20x0,5l",14.79,1.48
162,"Schöfferhofer Hefeweizen 6x0,33l",3.79,1.91
163,"Erdinger Weißbier Kristall 11x0,5l",9.29,1.69
164,"Schneider Weisse Original Hefeweißbier 20x0,5l",16.99,1.7
165,"Benediktiner Weissbier Naturtrüb 6x0,5l",5.99,2.0
166,"Mönchshof Bayerisch hell 20x0,5l",14.99,1.5
167,"Franziskaner Weißbier Kristallklar 20x0,5l",12.99,1.3
168,"Maisel's Weisse Original 20x0,5l",16.99,1.7
169,"Krombacher Weizen 6x0,33l",4.29,2.17
170,"Schöfferhofer Hefeweizen 0,5l",0.79,1.58
171,"Schöfferhofer Weizen 11x0,5l",8.49,1.54
172,"Störtebeker Schwarzbier 20x0,5l",15.49,1.55
173,"Krombacher Naturtrübes Dunkel 6x0,33l",4.29,2.17
174,"Original Oettinger Dunkles Hefeweizen 20x0,5l",8.99,0.9
175,"Original Oettinger Kristallweizen 20x0,5l",8.99,0.9
176,"Rothaus Zäpfle Hefeweizen 6x0,33l",5.29,2.67
177,"Köstritzer Schwarzbier 0,5l",0.89,1.78
178,"Neumarkter Lammsbräu Öko Urstoff 10x0,5l",10.79,2.16
179,"Wulle Vollbier Hell 6x0,5l",5.99,2.0
180,"Wulle Vollbier Hell 20x0,33l",13.99,2.12
181,"Original Oettinger Alt 20x0,5l",7.49,0.75
182,"Diebels Alt 6x0,33l",4.29,2.17
183,"Diebels Alt 0,5l",0.85,1.7
184,"Heineken 6x0,33l",4.99,2.52
185,"Corona Extra 6x0,35l",6.99,3.33
186,"Paulaner Münchner hell 20x0,5l",15.99,1.6
187,"Augustiner Hell 20x0,5l",17.49,1.75
188,"Bayreuther Brauhaus hell 20x0,5l",15.99,1.6
189,"Diebels Alt 20x0,5l",14.49,1.45
190,"Budweiser Budvar Imported Lager 0,5l",1.15,2.3
191,"Benediktiner Hell 0,5l",0.99,1.98
192,"Brooklyn Lager 0,33l",1.99,6.03
193,"Berliner Kindl Weisse Das Original 6x0,33l",4.49,2.27
194,"Budweiser Budvar Premium Lager 20x0,5l",16.99,1.7
195,"Budweiser Budvar Premium Lager 6x0,33l",4.69,2.37
196,"San Miguel 6x0,33l",4.99,2.52
197,"Hacker-Pschorr Münchner Hell 20x0,5l",15.99,1.6
198,"Carlsberg Beer 6x0,33l",4.89,2.47
199,Faxe Premium Quality Lager Beer 1l,1.49,0.0
200,"Carlsberg Beer 20x0,5l",16.49,1.65
201,"Wirtsmadl Bayrisch Hell 1516 20x0,5l",13.79,1.38
202,"Mönchshof Lager 20x0,5l",14.99,1.5
203,"Paulaner Original Münchner Hell 6x0,33l",4.49,2.27
204,"Gold Ochsen Original 20x0,5l",15.99,1.6
205,"Paulaner Münchner hell 0,5l",0.99,1.98
206,"Krombacher Pils alkoholfrei 6x0,33l",4.29,2.17
207,"Flensburger Edles Helles 20x0,33l",12.99,1.97
208,"Benediktiner Weissbier Alkoholfrei 6x0,5l",5.99,2.0
209,"Reichenberger Helles 0,5l",0.35,0.7
210,"Löwenbräu Original Dose 0,5l",0.75,1.5
211,"Paulaner Hefe-Weißbier alkoholfrei 6x0,33l",4.79,2.42
212,"König Ludwig Hell 0,5L",1.05,2.1
