,Name,Price,Price per Liter
456,"Riedenburger Dolden Dark 0,33l",1.99,6.03
457,"Riedenburger Dolden Sud IPA 0,33l",1.99,6.03
458,"La Trappe Quadrupel 0,33l",1.99,6.03
459,"Ratsherrn Matrosenschluck Oat 0,33l",1.79,5.42
460,"Gaffels Fassbrause Zitrone 24x0,33l",14.49,1.83
461,"La Trappe Dubbel 0,33l",1.79,5.42
462,"Schöfferhofer Grapefruit alkoholfrei 6x0,33l",3.79,1.91
463,"Franziskaner Weißbier Alkoholfrei Holunder 6x0,33l",4.49,2.27
464,"Rügener Insel-Brauerei Baltic Stout 0,33l",2.99,9.06
465,"Störtebeker Nordik-Porter 0,33l",2.99,9.06
466,"Liefmans Fruitesse 0,25l",1.49,0.6
467,"Paulaner Weißbier Zitrone alkoholfrei 6x0,33l",4.79,2.42
468,"Hanscraft Backbone Splitter 0,33l",2.49,7.55
469,"Krombacher's Fassbrause Rhabarber 6x0,33l",4.29,2.17
470,"Franziskaner Weißbier Alkoholfrei Zitrone 6x0,33l",4.49,2.27
471,"McGargles Uncle Jim's Stout 0,33l",1.99,6.03
472,"Krombacher Radler alkoholfrei 6x0,33l",4.29,2.17
473,"Krombacher Radler alkoholfrei 11x0,5l",8.99,1.63
474,"Paulaner Weißbier Zitrone alkoholfrei 20x0,5l",16.79,1.68
475,"Krombacher's Fassbrause Zitrone 6x0,33l",4.29,2.17
476,"Bitburger Fassbrause Rhabarber 6x0,33l",4.29,2.17
477,"Gaffels Fassbrause Orange 6x0,33l",3.79,1.91
478,"Beck's Green Lemon Zero 6x0,33l",4.29,2.17
479,"Erdinger alkoholfrei Zitrone 6x0,33l",3.79,1.91
480,"Gaffels Fassbrause Zitrone 6x0,33l",3.99,2.02
481,"Propeller Nachtflug 0,33l",2.29,6.94
482,"Bitburger 0,0% Radler Alkoholfrei 0,5l",0.85,1.7
483,"Clausthaler Radler Alkoholfrei 6x0,33l",3.99,2.02
484,"Veltins Fassbrause Holunder alkoholfrei 6x0,33l",4.29,2.17
485,"Krombacher Weizen Zitrone 6x0,33l",4.29,2.17
486,"Krombacher's Fassbrause Holunder 6x0,33l",4.29,2.17
487,"Krombacher Radler alkoholfrei 24x0,33l",14.49,1.83
488,"Gaffels Fassbrause Zitrone 0,5l",0.89,1.78
489,"Bitburger 0,0% Radler Alkoholfrei 6x0,33l",4.29,2.17
490,"Krombacher Fassbrause Schwarze Johannisbeere 6x0,33l",4.29,2.17
491,"Gaffels Fassbrause Orange 24x0,33l",13.99,1.77
492,"Früh Frühsport 6x0,33l",4.29,2.17
493,"Bitburger Fassbrause Waldmeister 6x0,33l",4.29,2.17
494,"Krombacher Fassbrause Cola Orange 6x0,33l",4.29,2.17
495,"Original Oettinger Fassbrause Mango 6x0,33l",2.79,1.41
496,"Original Oettinger Fassbrause Zitrone 6x0,33l",2.79,1.41
497,"Fürstenberg Radler Zitrus alkoholfrei 6x0,33l",3.99,2.02
498,"Veltins Fassbrause Apfel-Kräuter alkoholfrei 6x0,33l",4.29,2.17
499,"Bitburger 0,0% Grapefruit Alkoholfrei 6x0,33l",4.29,2.17
500,"Veltins Radler alkoholfrei 6x0,33l",4.29,2.17
501,"Warsteiner Radler Alkoholfrei 6x0,33l",3.79,1.91
